state,total_medicaid_enrollees,total_viii_group_enrollees,total_viii_group_newly_eligible_enrollees,total_viii_group_not_newly_eligible_enrollees,updated_year,updated_month,enrollment_year,enrollment_month,notes
"North Dakota",88829,19692,18765,927,2020,2,2019,6,
Arizona,1876550,427072,107443,319629,2020,2,2019,4,
Minnesota,1073560,193826,193000,826,2020,2,2019,4,
Mississippi,673247,,,,2020,2,2019,6,
California,12437994,3696925,3684894,12031,2020,2,2019,6,
Alabama,1033498,,,,2020,2,2019,5,
Totals,74812854,15399528,12111460,3288068,2020,2,2019,5,
Washington,1738596,553306,539068,14238,2020,2,2019,4,
Utah,289310,,,,2020,2,2019,6,
Oklahoma,642886,,,,2020,2,2019,5,
"New Hampshire",182244,52903,52622,281,2020,2,2019,5,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Indiana,1307223,309510,309510,0,2020,2,2019,6,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
"New Jersey",1570169,518216,518216,0,2020,2,2019,6,
Missouri,858822,,,,2020,2,2019,5,
"New Hampshire",183038,53424,53138,286,2020,2,2019,4,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Nebraska,241856,,,,2020,2,2019,6,
Alabama,1030917,,,,2020,2,2019,4,
Hawaii,310597,110678,20114,90564,2020,2,2019,4,
Alaska,204493,51172,51157,15,2020,2,2019,6,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Illinois,2592841,661292,553675,107617,2020,2,2019,5,
Florida,3800560,,,,2020,2,2019,5,
"Puerto Rico",1243952,430749,,430749,2020,2,2019,5,
Montana,257505,98741,98741,0,2020,2,2019,4,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"South Dakota",103998,,,,2020,2,2019,6,
Colorado,1234143,380442,373346,7096,2020,2,2019,6,
Hawaii,301359,107314,19235,88079,2020,2,2019,6,
Iowa,606174,172153,157036,15117,2020,2,2019,4,
"South Carolina",1266461,,,,2020,2,2019,4,
Texas,4120865,,,,2020,2,2019,5,
Oregon,958178,461989,380236,81753,2020,2,2019,6,
Delaware,177665,62488,9547,52941,2020,2,2019,6,
Virginia,1502380,271023,271023,0,2020,2,2019,5,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Maine,262988,19812,15399,4413,2020,2,2019,4,"Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Minnesota,1040633,185011,184151,860,2020,2,2019,6,
Ohio,2763388,526131,525890,241,2020,2,2019,6,
Mississippi,674544,,,,2020,2,2019,4,
"Dist. Of Col.",260916,107772,66510,41262,2020,2,2019,4,
Utah,291922,,,,2020,2,2019,4,
"Amer. Samoa",37829,,,,2020,2,2019,5,
Kentucky,1290594,450702,450702,0,2020,2,2019,5,
"North Carolina",2154624,,,,2020,2,2019,4,
"New Mexico",831546,257784,257784,0,2020,2,2019,5,
"West Virginia",520696,161429,161429,0,2020,2,2019,6,
Maine,270006,28462,21514,6948,2020,2,2019,6,"Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Pennsylvania,2868594,775938,736553,39385,2020,2,2019,4,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Arkansas,829466,250832,249912,920,2020,2,2019,4,
Utah,292719,,,,2020,2,2019,5,
"New Jersey",1604005,531061,531061,0,2020,2,2019,5,
Georgia,1965793,,,,2020,2,2019,5,
Colorado,1235211,379544,372306,7238,2020,2,2019,5,
Massachusetts,1452226,335973,0,335973,2020,2,2019,5,
Nevada,589216,210608,210608,0,2020,2,2019,4,
Vermont,166532,54770,0,54770,2020,2,2019,6,
Indiana,1336106,313191,313191,0,2020,2,2019,4,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Ohio,2808448,546779,546532,247,2020,2,2019,5,
Iowa,604790,172180,157341,14839,2020,2,2019,6,
Alaska,206036,51347,51330,17,2020,2,2019,5,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Indiana,1323990,313049,313049,0,2020,2,2019,5,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
"West Virginia",522250,161591,161591,0,2020,2,2019,4,
Connecticut,952040,267885,243618,24267,2020,2,2019,6,
Montana,255804,97544,97544,0,2020,2,2019,5,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"Amer. Samoa",37829,,,,2020,2,2019,6,
"Rhode Island",300737,66236,66236,0,2020,2,2019,5,
"South Carolina",1250545,,,,2020,2,2019,6,
Missouri,870719,,,,2020,2,2019,4,
"N. Mariana Islands",16336,,,,2020,2,2019,6,
Guam,35499,4171,,4171,2020,2,2019,6,
Guam,35865,4216,,4216,2020,2,2019,4,
"New Mexico",825498,256424,256424,0,2020,2,2019,6,
Oklahoma,639506,,,,2020,2,2019,6,
Wyoming,54910,,,,2020,2,2019,5,
Maryland,1224567,309844,309844,0,2020,2,2019,4,
