state,total_medicaid_enrollees,total_viii_group_enrollees,total_viii_group_newly_eligible_enrollees,total_viii_group_not_newly_eligible_enrollees,updated_year,updated_month,enrollment_year,enrollment_month,notes
"Virgin Islands",30239,14051,,14051,2021,1,2019,10,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Vermont,163573,53310,0,53310,2021,1,2019,11,
Connecticut,948646,266486,241741,24745,2021,1,2019,10,
Missouri,838841,,,,2021,1,2019,11,
"New Jersey",1605514,527577,527577,0,2021,1,2019,10,
Arkansas,835235,257348,256435,913,2021,1,2019,11,
Kansas,357811,,,,2021,1,2019,10,
"New Hampshire",180417,52565,52283,282,2021,1,2019,11,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
Kentucky,1276893,447249,447249,0,2021,1,2019,10,
"Amer. Samoa",35002,,,,2021,1,2019,10,
Alaska,214474,54665,54662,3,2021,1,2019,12,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Iowa,602645,175248,159699,15549,2021,1,2019,11,
Colorado,1212588,380130,372535,7595,2021,1,2019,12,
Arizona,1890880,434823,106810,328013,2021,1,2019,11,
Arizona,1892617,434404,107339,327065,2021,1,2019,10,
Montana,248243,93004,93004,0,2021,1,2019,11,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"South Dakota",102766,,,,2021,1,2019,11,
Montana,246051,92050,92050,0,2021,1,2019,12,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Ohio,2773266,590346,590054,292,2021,1,2019,12,
Tennessee,1592720,,,,2021,1,2019,10,
Hawaii,309622,110477,19929,90548,2021,1,2019,11,
Maine,283009,48660,35673,12987,2021,1,2019,12,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Massachusetts,1732612,348153,0,348153,2021,1,2019,10,
Virginia,1288153,323020,323020,0,2021,1,2019,10,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
"New Jersey",1602059,532712,532712,0,2021,1,2019,12,
"New York",6081106,1859164,305710,1553454,2021,1,2019,11,
Delaware,212271,62073,9455,52618,2021,1,2019,11,
Oregon,968223,469903,385771,84132,2021,1,2019,11,
"Puerto Rico",1176330,403656,,403656,2021,1,2019,10,
"Dist. Of Col.",262775,108753,67340,41413,2021,1,2019,12,
"West Virginia",518356,161231,161231,0,2021,1,2019,12,
Wyoming,53957,,,,2021,1,2019,10,
Missouri,840625,,,,2021,1,2019,10,
Washington,1727578,552394,538549,13845,2021,1,2019,11,
Florida,3798710,,,,2021,1,2019,10,
Louisiana,1606433,464158,464158,0,2021,1,2019,11,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Oklahoma,641186,,,,2021,1,2019,11,
Hawaii,309262,110688,20061,90627,2021,1,2019,12,
Illinois,2669618,687325,579976,107349,2021,1,2019,10,
Pennsylvania,2828468,761146,723721,37425,2021,1,2019,12,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Louisiana,1631168,474016,474016,0,2021,1,2019,10,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Indiana,1329918,311416,311416,0,2021,1,2019,11,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Idaho,290964,0,0,0,2021,1,2019,10,"Idaho expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Utah,295255,0,0,0,2021,1,2019,11,"Utah expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Washington,1728243,550010,536008,14002,2021,1,2019,10,
"New Hampshire",182328,54056,53770,286,2021,1,2019,12,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
"New Mexico",829475,262758,262758,0,2021,1,2019,12,
"New Mexico",832163,260640,260640,0,2021,1,2019,10,
"South Dakota",102372,,,,2021,1,2019,12,
Texas,4167613,,,,2021,1,2019,10,
Connecticut,950278,267592,243127,24465,2021,1,2019,11,
Iowa,604168,176527,160837,15690,2021,1,2019,12,
"New York",6117057,1876320,307763,1568557,2021,1,2019,10,
Maryland,1245534,311298,311298,0,2021,1,2019,12,
"South Carolina",1276521,,,,2021,1,2019,12,
"Amer. Samoa",35002,,,,2021,1,2019,11,
Arkansas,834710,255954,255047,907,2021,1,2019,10,
Missouri,833214,,,,2021,1,2019,12,
Idaho,292239,0,0,0,2021,1,2019,11,"Idaho expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Guam,34389,4013,,4013,2021,1,2019,12,
Wisconsin,1183923,,,,2021,1,2019,12,
Nebraska,238178,,,,2021,1,2019,10,
Vermont,163672,53591,0,53591,2021,1,2019,12,
"N. Mariana Islands",16261,,,,2021,1,2019,11,
"South Dakota",103207,,,,2021,1,2019,10,
Totals,74622336,15430736,12174701,3256035,2021,1,2019,11,
Michigan,2379783,670324,619735,50589,2021,1,2019,11,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Kentucky,1267726,441600,441600,0,2021,1,2019,11,
Connecticut,956280,270969,246283,24686,2021,1,2019,12,
Oklahoma,632428,,,,2021,1,2019,12,
Pennsylvania,2825103,757847,720556,37291,2021,1,2019,11,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Tennessee,1582551,,,,2021,1,2019,11,
Mississippi,674189,,,,2021,1,2019,10,
"New Mexico",831402,261882,261882,0,2021,1,2019,11,
"Dist. Of Col.",263148,108315,66928,41387,2021,1,2019,11,
Pennsylvania,2828339,759685,721993,37692,2021,1,2019,10,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Virginia,1294491,326870,326870,0,2021,1,2019,11,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Indiana,1342124,311234,311234,0,2021,1,2019,10,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Maine,282289,44275,32177,12098,2021,1,2019,10,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Arizona,1884150,434164,106610,327554,2021,1,2019,12,
Massachusetts,1702123,340983,0,340983,2021,1,2019,11,
"West Virginia",520959,161642,161642,0,2021,1,2019,10,
"New York",6062348,1853013,305619,1547394,2021,1,2019,12,
Utah,294895,0,0,0,2021,1,2019,10,"Utah expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Wyoming,53793,,,,2021,1,2019,11,
"Dist. Of Col.",262638,108244,66670,41574,2021,1,2019,10,
Nevada,586954,210398,210398,0,2021,1,2019,10,
Utah,295804,0,0,0,2021,1,2019,12,"Utah expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Colorado,1218150,381126,373414,7712,2021,1,2019,11,
Kansas,358036,,,,2021,1,2019,12,
"North Carolina",2169538,,,,2021,1,2019,10,
Ohio,2782356,594484,594197,287,2021,1,2019,11,
"Virgin Islands",30569,14237,,14237,2021,1,2019,12,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Florida,3774396,,,,2021,1,2019,11,
Indiana,1318948,310992,310992,0,2021,1,2019,12,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Hawaii,310264,110409,19778,90631,2021,1,2019,10,
Nevada,582213,209440,209440,0,2021,1,2019,12,
Oregon,969850,470379,385934,84445,2021,1,2019,10,
Georgia,2035551,,,,2021,1,2019,12,
Illinois,2659299,686835,579195,107640,2021,1,2019,11,
"N. Mariana Islands",15586,,,,2021,1,2019,10,
"Rhode Island",288686,63878,63878,0,2021,1,2019,12,
"Puerto Rico",1165633,401271,,401271,2021,1,2019,11,
Nebraska,237908,,,,2021,1,2019,11,
Texas,4143053,,,,2021,1,2019,11,
Oregon,966536,470154,386188,83966,2021,1,2019,12,
Mississippi,670013,,,,2021,1,2019,12,
"South Carolina",1290547,,,,2021,1,2019,10,
Wyoming,54231,,,,2021,1,2019,12,
Alabama,1048875,,,,2021,1,2019,10,
Minnesota,1068532,190069,189228,841,2021,1,2019,10,
Massachusetts,1685220,336415,0,336415,2021,1,2019,12,
Delaware,212146,62078,9531,52547,2021,1,2019,12,
Kansas,357725,,,,2021,1,2019,11,
California,12533958,3730683,3713003,17680,2021,1,2019,10,
Alaska,213889,53931,53929,2,2021,1,2019,11,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Minnesota,1053161,186837,186016,821,2021,1,2019,11,
"North Dakota",88431,19602,18665,937,2021,1,2019,10,
"North Carolina",2161348,,,,2021,1,2019,12,
Wisconsin,1185552,,,,2021,1,2019,10,
"New Hampshire",180170,51602,51321,281,2021,1,2019,10,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
Nebraska,236655,,,,2021,1,2019,12,
Virginia,1313429,343047,343047,0,2021,1,2019,12,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Kentucky,1260844,440673,440673,0,2021,1,2019,12,
"Virgin Islands",30430,14160,,14160,2021,1,2019,11,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Arkansas,835370,259656,258779,877,2021,1,2019,12,
Guam,35196,4152,,4152,2021,1,2019,10,
Maryland,1244735,312778,312778,0,2021,1,2019,10,
Maryland,1246079,312116,312116,0,2021,1,2019,11,
"North Dakota",89483,20207,19238,969,2021,1,2019,11,
Iowa,603603,174029,158514,15515,2021,1,2019,10,
Texas,4140124,,,,2021,1,2019,12,
Illinois,2653924,688602,581206,107396,2021,1,2019,12,
Vermont,164461,53669,0,53669,2021,1,2019,10,
Georgia,2039912,,,,2021,1,2019,11,
California,12414191,3691195,3672208,18987,2021,1,2019,11,
"New Jersey",1607171,532438,532438,0,2021,1,2019,11,
Wisconsin,1183039,,,,2021,1,2019,11,
Delaware,212362,62296,9415,52881,2021,1,2019,10,
Mississippi,672341,,,,2021,1,2019,11,
"Rhode Island",288974,63716,63716,0,2021,1,2019,11,
