state,total_medicaid_enrollees,total_viii_group_enrollees,total_viii_group_newly_eligible_enrollees,total_viii_group_not_newly_eligible_enrollees,updated_year,updated_month,enrollment_year,enrollment_month,notes
"N. Mariana Islands",16861,,,,2021,1,2020,3,
"Virgin Islands",30818,14400,,14400,2021,1,2020,1,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Vermont,163155,53983,0,53983,2021,1,2020,2,
Connecticut,954441,269159,244321,24838,2021,1,2020,1,
Missouri,834430,,,,2021,1,2020,2,
"New Jersey",1599594,531848,531848,0,2021,1,2020,1,
Arkansas,831894,258647,257797,850,2021,1,2020,2,
Kansas,358102,,,,2021,1,2020,1,
"New Hampshire",181751,53939,53667,272,2021,1,2020,2,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
Kentucky,1257584,440202,440202,0,2021,1,2020,1,
"Amer. Samoa",35002,,,,2021,1,2020,1,
Alaska,215774,55753,55746,7,2021,1,2020,3,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Iowa,599764,175680,160093,15587,2021,1,2020,2,
Colorado,1194449,371796,364566,7230,2021,1,2020,3,
Arizona,1869056,432127,104906,327221,2021,1,2020,2,
Arizona,1874047,432349,106010,326339,2021,1,2020,1,
Montana,239252,88550,88550,0,2021,1,2020,2,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"South Dakota",103113,,,,2021,1,2020,2,
Montana,236749,87425,87425,0,2021,1,2020,3,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Ohio,2746541,565498,565205,293,2021,1,2020,3,
Tennessee,1597918,,,,2021,1,2020,1,
Hawaii,307367,110151,19690,90461,2021,1,2020,2,
Maine,289016,51632,39367,12265,2021,1,2020,3,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Massachusetts,1710888,342394,0,342394,2021,1,2020,1,
Virginia,1346849,372098,372098,0,2021,1,2020,1,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
"New Jersey",1589121,527959,527959,0,2021,1,2020,3,
"New York",6059971,1856298,308174,1548124,2021,1,2020,2,
Delaware,213312,62743,9702,53041,2021,1,2020,2,
Oregon,978729,478093,392861,85232,2021,1,2020,2,
"Puerto Rico",1155487,401358,,401358,2021,1,2020,1,
"Dist. Of Col.",253594,102354,63450,38904,2021,1,2020,3,
"West Virginia",516523,161759,161759,0,2021,1,2020,3,
Wyoming,54269,,,,2021,1,2020,1,
Missouri,832892,,,,2021,1,2020,1,
Washington,1724834,554982,540499,14483,2021,1,2020,2,
Florida,3779728,,,,2021,1,2020,1,
Louisiana,1618926,479107,479107,0,2021,1,2020,2,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Oklahoma,634873,,,,2021,1,2020,2,
Hawaii,309968,112076,19986,92090,2021,1,2020,3,
Illinois,2650586,686576,578685,107891,2021,1,2020,1,
Pennsylvania,2837782,769508,731135,38373,2021,1,2020,3,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Louisiana,1631986,492750,492750,0,2021,1,2020,1,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Indiana,1353191,323012,323012,0,2021,1,2020,2,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Idaho,336747,58566,58566,0,2021,1,2020,1,"Idaho expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Utah,300013,47999,47259,740,2021,1,2020,2,"Utah expanded its Medicaid program by adopting VIII Group on January 1, 2020."
"Amer. Samoa",35002,,,,2021,1,2020,3,
Washington,1730774,556947,542599,14348,2021,1,2020,1,
"New Hampshire",183234,54902,54623,279,2021,1,2020,3,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
"New Mexico",831724,264036,264036,0,2021,1,2020,3,
"New Mexico",834667,265364,265364,0,2021,1,2020,1,
"South Dakota",102861,,,,2021,1,2020,3,
Texas,4155511,,,,2021,1,2020,1,
Connecticut,954970,268784,243847,24937,2021,1,2020,2,
Iowa,602417,176903,161639,15264,2021,1,2020,3,
"New York",6068726,1857240,307483,1549757,2021,1,2020,1,
Maryland,1258254,314955,314955,0,2021,1,2020,3,
"South Carolina",1256038,,,,2021,1,2020,3,
"Amer. Samoa",35002,,,,2021,1,2020,2,
Arkansas,836699,260901,260040,861,2021,1,2020,1,
Missouri,846577,,,,2021,1,2020,3,
Idaho,342379,61613,61613,0,2021,1,2020,2,"Idaho expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Guam,33607,3843,,3843,2021,1,2020,3,
Wisconsin,1186989,,,,2021,1,2020,3,
Nebraska,238589,,,,2021,1,2020,1,
Vermont,165180,55609,0,55609,2021,1,2020,3,
"South Dakota",102784,,,,2021,1,2020,1,
Totals,74443888,15542456,12300921,3241535,2021,1,2020,2,
Michigan,2404312,684039,636337,47702,2021,1,2020,2,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Kentucky,1258173,439965,439965,0,2021,1,2020,2,
Connecticut,952488,267129,242080,25049,2021,1,2020,3,
Oklahoma,657059,,,,2021,1,2020,3,
Pennsylvania,2829830,764255,726206,38049,2021,1,2020,2,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Tennessee,1590345,,,,2021,1,2020,2,
Mississippi,671581,,,,2021,1,2020,1,
"New Mexico",833939,265559,265559,0,2021,1,2020,2,
"Dist. Of Col.",251641,101445,63104,38341,2021,1,2020,2,
Pennsylvania,2831946,764171,726439,37732,2021,1,2020,1,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Virginia,1357183,381927,381927,0,2021,1,2020,2,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Indiana,1353191,317012,317012,0,2021,1,2020,1,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Maine,283861,49123,36955,12168,2021,1,2020,1,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Arizona,1877209,437132,105444,331688,2021,1,2020,3,
Massachusetts,1693087,330481,0,330481,2021,1,2020,2,
"West Virginia",518475,162449,162449,0,2021,1,2020,1,
"New York",6069271,1868886,311048,1557838,2021,1,2020,3,
Utah,299318,46325,45582,743,2021,1,2020,1,"Utah expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Wyoming,54069,,,,2021,1,2020,2,
"Dist. Of Col.",262654,108206,66942,41264,2021,1,2020,1,
Nevada,582645,209687,209687,0,2021,1,2020,1,
Utah,302259,50240,49544,696,2021,1,2020,3,"Utah expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Colorado,1198307,374920,367514,7406,2021,1,2020,2,
Kansas,355805,,,,2021,1,2020,3,
"North Carolina",2158750,,,,2021,1,2020,1,
Ohio,2756472,578807,578516,291,2021,1,2020,2,
"Virgin Islands",31079,14552,,14552,2021,1,2020,3,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Florida,3757042,,,,2021,1,2020,2,
Indiana,1359758,336812,336812,0,2021,1,2020,3,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Hawaii,308541,110602,19928,90674,2021,1,2020,1,
Nevada,583234,210538,210538,0,2021,1,2020,3,
Oregon,979207,478133,392876,85257,2021,1,2020,1,
Georgia,2025819,,,,2021,1,2020,3,
Illinois,2638924,684331,577335,106996,2021,1,2020,2,
"N. Mariana Islands",15970,,,,2021,1,2020,1,
"Rhode Island",288154,64223,64223,0,2021,1,2020,3,
"Puerto Rico",1153937,401981,,401981,2021,1,2020,2,
Nebraska,239083,,,,2021,1,2020,2,
Texas,4147182,,,,2021,1,2020,2,
Oregon,979915,480418,395374,85044,2021,1,2020,3,
Mississippi,670300,,,,2021,1,2020,3,
"South Carolina",1270303,,,,2021,1,2020,1,
Wyoming,54765,,,,2021,1,2020,3,
Alabama,1052527,,,,2021,1,2020,1,
Minnesota,1067491,189830,189161,669,2021,1,2020,1,
Massachusetts,1707448,341139,0,341139,2021,1,2020,3,
Delaware,213664,62896,9558,53338,2021,1,2020,3,
Kansas,355796,,,,2021,1,2020,2,
California,12369407,3666116,3643990,22126,2021,1,2020,1,
Alaska,215116,55192,55185,7,2021,1,2020,2,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Minnesota,1057545,187800,187030,770,2021,1,2020,2,
"North Dakota",90795,20746,19748,998,2021,1,2020,1,
"North Carolina",2149751,,,,2021,1,2020,3,
Wisconsin,1184182,,,,2021,1,2020,1,
"New Hampshire",182959,54291,54018,273,2021,1,2020,1,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
Nebraska,238922,,,,2021,1,2020,3,
Virginia,1363807,386989,386989,0,2021,1,2020,3,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Kentucky,1275868,447391,447391,0,2021,1,2020,3,
"Virgin Islands",30971,14481,,14481,2021,1,2020,2,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Arkansas,829713,258175,257349,826,2021,1,2020,3,
Guam,34489,4001,,4001,2021,1,2020,1,
Maryland,1248618,311202,311202,0,2021,1,2020,1,
Maryland,1252460,311874,311874,0,2021,1,2020,2,
"North Dakota",90038,20396,19410,986,2021,1,2020,2,
Iowa,600548,175823,159864,15959,2021,1,2020,1,
Texas,4158007,,,,2021,1,2020,3,
Illinois,2644815,684423,578327,106096,2021,1,2020,3,
Vermont,163696,53963,0,53963,2021,1,2020,1,
Georgia,2038164,,,,2021,1,2020,2,
California,12251774,3622935,3599792,23143,2021,1,2020,2,
"New Jersey",1593553,528565,528565,0,2021,1,2020,2,
Wisconsin,1185037,,,,2021,1,2020,2,
Delaware,212535,62429,9662,52767,2021,1,2020,1,
Mississippi,671258,,,,2021,1,2020,2,
"Rhode Island",286177,63214,63214,0,2021,1,2020,2,
