state,total_medicaid_enrollees,total_viii_group_enrollees,total_viii_group_newly_eligible_enrollees,total_viii_group_not_newly_eligible_enrollees,updated_year,updated_month,enrollment_year,enrollment_month,notes
Utah,296227,0,0,0,2021,1,2019,8,"Utah expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Washington,1248491,67689,53601,14088,2021,1,2019,7,
"New Hampshire",180329,51618,51328,290,2021,1,2019,9,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
"New Mexico",828524,258689,258689,0,2021,1,2019,9,
"New Mexico",829459,257816,257816,0,2021,1,2019,7,
"South Dakota",103385,,,,2021,1,2019,9,
Texas,4160192,,,,2021,1,2019,7,
Connecticut,952410,268041,243708,24333,2021,1,2019,8,
Iowa,605777,173906,158450,15456,2021,1,2019,9,
"New York",6122502,1891636,306498,1585138,2021,1,2019,7,
Maryland,1240041,312137,312137,0,2021,1,2019,9,
"South Carolina",1292858,,,,2021,1,2019,9,
"Amer. Samoa",37829,,,,2021,1,2019,8,
Arkansas,828694,251909,250980,929,2021,1,2019,7,
Missouri,839279,,,,2021,1,2019,9,
Idaho,285233,0,0,0,2021,1,2019,8,"Idaho expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Guam,35248,4138,,4138,2021,1,2019,9,
Wisconsin,1187507,,,,2021,1,2019,9,
Nebraska,243927,,,,2021,1,2019,7,
Vermont,165424,54047,0,54047,2021,1,2019,9,
"N. Mariana Islands",16620,,,,2021,1,2019,8,
"South Dakota",103962,,,,2021,1,2019,7,
Totals,75037460,15518823,12226289,3292534,2021,1,2019,8,
Michigan,2374059,662823,609142,53681,2021,1,2019,8,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Kentucky,1288645,451480,451480,0,2021,1,2019,8,
Connecticut,952522,267903,243463,24440,2021,1,2019,9,
Oklahoma,641960,,,,2021,1,2019,9,
Pennsylvania,2846489,771330,733047,38283,2021,1,2019,8,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Tennessee,1590700,,,,2021,1,2019,8,
Mississippi,672198,,,,2021,1,2019,7,
"New Mexico",829406,258239,258239,0,2021,1,2019,8,
"Dist. Of Col.",263605,108784,66837,41947,2021,1,2019,8,
Pennsylvania,2854237,774482,735853,38629,2021,1,2019,7,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Virginia,1265240,303158,303158,0,2021,1,2019,8,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Indiana,1336196,310882,310882,0,2021,1,2019,7,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Maine,274242,33001,24837,8164,2021,1,2019,7,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Arizona,1892992,432744,107328,325416,2021,1,2019,9,
Massachusetts,1736721,352927,0,352927,2021,1,2019,8,
"West Virginia",521524,161715,161715,0,2021,1,2019,7,
"New York",6089321,1876748,306182,1570566,2021,1,2019,9,
Utah,295272,0,0,0,2021,1,2019,7,"Utah expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Wyoming,53525,,,,2021,1,2019,8,
"Dist. Of Col.",263389,109273,67157,42116,2021,1,2019,7,
Nevada,588274,210386,210386,0,2021,1,2019,7,
Utah,295028,0,0,0,2021,1,2019,9,"Utah expanded its Medicaid program by adopting VIII Group on January 1, 2020."
Colorado,1230388,378037,370211,7826,2021,1,2019,8,
Kansas,358368,,,,2021,1,2019,9,
"North Carolina",2173467,,,,2021,1,2019,7,
Ohio,2825907,619740,619427,313,2021,1,2019,8,
"Virgin Islands",29847,13913,,13913,2021,1,2019,9,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Florida,3800726,,,,2021,1,2019,8,
Indiana,1315923,307665,307665,0,2021,1,2019,9,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Hawaii,310785,110424,19886,90538,2021,1,2019,7,
Nevada,587768,210093,210093,0,2021,1,2019,9,
Oregon,964910,466446,383698,82748,2021,1,2019,7,
Georgia,2040303,,,,2021,1,2019,9,
Illinois,2682054,687746,579871,107875,2021,1,2019,8,
"N. Mariana Islands",16559,,,,2021,1,2019,7,
"Rhode Island",295625,66134,66134,0,2021,1,2019,9,
"Puerto Rico",1158503,405131,,405131,2021,1,2019,8,
Nebraska,237329,,,,2021,1,2019,8,
Texas,4164868,,,,2021,1,2019,8,
Oregon,960448,464564,381358,83206,2021,1,2019,9,
Mississippi,672711,,,,2021,1,2019,9,
"South Carolina",1292939,,,,2021,1,2019,7,
Wyoming,54124,,,,2021,1,2019,9,
Alabama,1039621,,,,2021,1,2019,7,
Minnesota,1071241,191341,190616,725,2021,1,2019,7,
Massachusetts,1714085,343846,0,343846,2021,1,2019,9,
Delaware,212724,62244,9446,52798,2021,1,2019,9,
Kansas,359056,,,,2021,1,2019,8,
California,12617496,3748234,3733554,14680,2021,1,2019,7,
Alaska,213643,53123,53120,3,2021,1,2019,8,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Minnesota,1060208,188113,187320,793,2021,1,2019,8,
"North Dakota",88613,19542,18650,892,2021,1,2019,7,
"North Carolina",2171305,,,,2021,1,2019,9,
Wisconsin,1183952,,,,2021,1,2019,7,
"New Hampshire",180340,51844,51567,277,2021,1,2019,7,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
Nebraska,243571,,,,2021,1,2019,9,
Virginia,1275873,312626,312626,0,2021,1,2019,9,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Kentucky,1283398,450056,450056,0,2021,1,2019,9,
"Virgin Islands",29689,13814,,13814,2021,1,2019,8,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Arkansas,831542,254212,253286,926,2021,1,2019,9,
Guam,35524,4166,,4166,2021,1,2019,7,
Maryland,1233962,311534,311534,0,2021,1,2019,7,
Maryland,1239877,312759,312759,0,2021,1,2019,8,
"North Dakota",90124,20113,19180,933,2021,1,2019,8,
Iowa,605053,172682,157709,14973,2021,1,2019,7,
Texas,4165233,,,,2021,1,2019,9,
Illinois,2674647,687095,579445,107650,2021,1,2019,9,
Vermont,167070,54664,0,54664,2021,1,2019,7,
Georgia,2027915,,,,2021,1,2019,8,
California,12593368,3738516,3722449,16067,2021,1,2019,8,
"New Jersey",1611421,530959,530959,0,2021,1,2019,8,
Wisconsin,1184360,,,,2021,1,2019,8,
Delaware,214927,63148,9611,53537,2021,1,2019,7,
Mississippi,672824,,,,2021,1,2019,8,
"Rhode Island",299037,67014,67014,0,2021,1,2019,8,
